Date,AGL.JO,BID.JO,CPI.JO
2021-02-08,51775.1875,27918.509765625,139255.40625
2021-02-09,51310.171875,28308.13671875,139641.015625
2021-02-10,54007.2578125,28390.064453125,138865.78125
2021-02-11,52412.5,28021.4140625,140364.328125
2021-02-12,52195.16796875,28408.046875,140364.328125
2021-02-15,54861.90234375,28382.068359375,139964.703125
2021-02-16,55651.9375,28745.724609375,138865.78125
2021-02-17,56262.8203125,27630.78125,138412.25
2021-02-18,55628.44140625,27695.720703125,135997.53125
2021-02-19,57481.6484375,28841.634765625,135476.046875
2021-02-22,57009.78125,28766.701171875,135010.5
2021-02-23,55813.46875,28271.173828125,132866.578125
2021-02-24,56891.32421875,27515.892578125,132671.765625
2021-02-25,61049.04296875,28125.310546875,133041.390625
2021-02-26,56863.9140625,28308.13671875,133745.703125
2021-03-01,59088.1484375,29322.17578125,134984.515625
2021-03-02,60216.91015625,30114.42578125,135511.03125
2021-03-03,59644.2109375,31209.38671875,134390.109375
2021-03-04,59513.02734375,31497.11328125,133870.625
2021-03-05,61270.29296875,31434.17578125,133288.15625
2021-03-08,62106.33984375,31470.13671875,134072.421875
2021-03-09,59779.30859375,31949.681640625,137263.34375
2021-03-10,59301.56640625,31694.923828125,137842.765625
2021-03-11,60156.21484375,31614.001953125,138480.125
2021-03-12,61597.26953125,31367.234375,137866.734375
2021-03-15,60428.37109375,30720.84765625,135153.359375
2021-03-16,59739.171875,29801.72265625,134365.109375
2021-03-17,57533.53515625,29628.88671875,132593.84375
2021-03-18,58107.21484375,29030.451171875,133409.046875
2021-03-19,56360.71875,28823.65234375,133712.765625
2021-03-23,54326.40234375,28303.14453125,134532.953125
2021-03-24,55587.328125,28005.427734375,135651.890625
2021-03-25,54340.109375,27904.5234375,134117.359375
2021-03-26,57801.7734375,28658.8046875,138627.984375
2021-03-29,56820.83984375,29346.154296875,141932.8125
2021-03-30,57182.08203125,28972.5078125,144360.453125
2021-03-31,56854.125,28573.890625,141846.890625
2021-04-01,57116.48828125,28576.8828125,138865.78125
2021-04-06,58728.86328125,29170.3203125,137600.0
2021-04-07,58602.578125,29100.388671875,138197.421875
2021-04-08,59619.734375,28732.73828125,136136.390625
2021-04-09,60365.71484375,29123.365234375,136550.015625
2021-04-12,59338.76953125,28573.890625,138908.71875
2021-04-13,59529.66796875,28491.96484375,138366.25
2021-04-14,61066.6640625,29329.171875,137123.4375
2021-04-15,60076.91796875,29028.45703125,139864.78125
2021-04-16,61945.78515625,29625.888671875,139986.703125
2021-04-19,61803.83203125,29241.25390625,140355.34375
2021-04-20,60211.0390625,28874.599609375,139847.8125
2021-04-21,59731.33984375,28982.498046875,138670.953125
2021-04-22,59535.54296875,29539.96875,137418.15625
2021-04-23,60553.6796875,29338.16015625,139770.90625
2021-04-26,61931.1015625,29596.91796875,144593.21875
2021-04-28,62261.015625,29579.93359375,148895.078125
2021-04-29,61323.15625,29325.171875,150754.265625
2021-04-30,60540.953125,28564.892578125,148496.484375
2021-05-03,60445.01171875,28130.306640625,149440.515625
2021-05-04,60788.6328125,27701.71484375,149455.515625
2021-05-05,63437.74609375,28310.13671875,151570.703125
2021-05-06,63082.37890625,28197.244140625,154071.578125
2021-05-07,65199.90625,28355.095703125,155262.53125
2021-05-10,65983.0859375,28522.935546875,156103.8125
2021-05-11,65101.03125,27857.56640625,156165.765625
2021-05-12,66345.3125,27645.767578125,156162.765625
2021-05-13,63595.36328125,27734.68359375,155529.3125
2021-05-14,63332.99609375,28162.275390625,157864.296875
2021-05-17,64357.98828125,28273.169921875,160074.390625
2021-05-18,64476.44140625,29364.140625,160822.78125
2021-05-19,60781.78125,28593.869140625,162916.953125
2021-05-20,60820.94140625,28856.619140625,162841.046875
2021-05-21,60701.50390625,28543.916015625,163623.359375
2021-05-24,60639.828125,28291.15234375,164380.703125
2021-05-25,59374.9921875,28520.935546875,165049.140625
2021-05-26,58370.55859375,28535.921875,167408.09375
2021-05-27,60471.4453125,28489.966796875,163884.125
2021-05-28,59954.546875,29123.365234375,165434.796875
2021-05-31,60774.9296875,29015.46484375,166537.875
2021-06-01,62254.1640625,29414.08984375,167097.375
2021-06-02,62232.625,29521.986328125,168013.5625
2021-06-03,60109.22265625,29435.0703125,167298.203125
2021-06-04,60853.24609375,29771.75390625,165727.546875
2021-06-07,59601.96875,29152.337890625,166234.09375
2021-06-08,60405.0234375,29179.310546875,167866.703125
2021-06-09,58725.1953125,30819.755859375,172851.4375
